customer_id,age,gender,location,product_category,product_price,product_rating,purchase_quantity,transaction_amount,discount_applied,final_amount,purchase_date,loyalty_points,payment_method,membership_status,returning_customer
3653,60,Other,Suburban,Groceries,583.35,3.9,8,4666.8,0.2,3733.44,2020-01-01,604,Debit Card,Regular,1
2272,47,Other,Rural,Electronics,799.99,2.3,6,4799.94,0,4799.94,2020-01-01,55,Cash,Regular,1
4414,32,Male,Suburban,Clothing,337.08,3.2,6,2022.48,0.2,1617.98,2020-01-01,841,Credit Card,VIP,1
2102,19,Other,Urban,Furniture,872.56,2.9,5,4362.8,0.1,3926.52,2020-01-01,80,Mobile Payment,Non-member,0
4564,35,Other,Urban,Clothing,835.32,4.3,4,3341.28,0.2,2673.02,2020-01-01,844,Cash,Regular,0
4522,44,Female,Suburban,Toys,755.03,3.7,6,4530.18,0,4530.18,2020-01-02,397,Cash,Non-member,0
2204,52,Other,Suburban,Clothing,858.69,2.4,2,1717.38,0.1,1545.64,2020-01-02,142,Cash,VIP,1
3907,54,Female,Rural,Groceries,594.15,3.1,9,5347.35,0.3,3743.14,2020-01-02,149,Debit Card,VIP,1
2763,33,Other,Urban,Furniture,738.53,4.3,1,738.53,0,738.53,2020-01-02,402,Cash,Non-member,1
1688,55,Other,Urban,Electronics,883,2.9,6,5298,0,5298,2020-01-02,676,Debit Card,Non-member,0
3253,66,Other,Rural,Electronics,673.58,4.7,2,1347.16,0.2,1077.73,2020-01-02,339,Mobile Payment,Non-member,0
1798,36,Female,Rural,Electronics,379.07,2.3,5,1895.35,0.1,1705.82,2020-01-02,663,Debit Card,VIP,1
2700,40,Male,Rural,Furniture,334.03,3.4,6,2004.18,0.3,1402.93,2020-01-02,935,Debit Card,Regular,1
3611,54,Female,Suburban,Furniture,527.38,4.1,5,2636.9,0,2636.9,2020-01-02,403,Debit Card,VIP,1
2779,56,Other,Urban,Clothing,869.06,3.5,4,3476.24,0.2,2780.99,2020-01-02,873,Cash,VIP,1
2846,40,Female,Rural,Clothing,305.47,4.5,5,1527.35,0.1,1374.62,2020-01-02,463,Debit Card,VIP,0
1454,66,Female,Urban,Clothing,471.16,3.6,2,942.32,0.2,753.86,2020-01-02,869,Mobile Payment,VIP,1
2823,22,Male,Rural,Clothing,990.93,3.8,9,8918.37,0,8918.37,2020-01-02,261,Debit Card,Regular,0
3853,59,Other,Rural,Electronics,195.25,2.2,2,390.5,0.3,273.35,2020-01-02,410,Cash,VIP,0
4744,43,Male,Suburban,Groceries,911.68,3.5,4,3646.72,0.2,2917.38,2020-01-02,545,Cash,VIP,0
2312,57,Other,Suburban,Toys,269.09,4.9,6,1614.54,0.2,1291.63,2020-01-02,630,Cash,Regular,1
3886,46,Male,Suburban,Furniture,697.87,1.6,1,697.87,0.2,558.3,2020-01-02,58,Cash,Regular,1
2179,43,Male,Rural,Furniture,944.06,1.2,2,1888.12,0.2,1510.5,2020-01-02,103,Cash,Non-member,1
3659,69,Other,Rural,Clothing,863.55,2.3,4,3454.2,0.1,3108.78,2020-01-02,137,Mobile Payment,VIP,1
4652,27,Other,Urban,Furniture,870.76,3.6,1,870.76,0.3,609.53,2020-01-02,494,Debit Card,Non-member,0
3923,24,Male,Rural,Toys,162.43,4,7,1137.01,0,1137.01,2020-01-02,666,Debit Card,Regular,1
2253,23,Female,Urban,Clothing,602.77,4.7,7,4219.39,0.2,3375.51,2020-01-02,597,Cash,VIP,0
4724,27,Male,Rural,Clothing,306.91,3.1,2,613.82,0.2,491.06,2020-01-02,392,Mobile Payment,Regular,0
4774,27,Female,Rural,Groceries,588.71,1,8,4709.68,0.2,3767.74,2020-01-02,644,Credit Card,Non-member,0
1902,61,Male,Rural,Furniture,474.56,3.7,2,949.12,0,949.12,2020-01-03,239,Mobile Payment,Regular,0
3105,60,Female,Rural,Furniture,596.38,2.3,9,5367.42,0.3,3757.19,2020-01-03,553,Mobile Payment,Regular,1
3013,66,Female,Suburban,Electronics,222.62,4.1,5,1113.1,0.2,890.48,2020-01-03,199,Credit Card,Regular,1
1425,33,Male,Rural,Toys,367.56,4.8,2,735.12,0.2,588.1,2020-01-03,911,Debit Card,Regular,0
4591,32,Male,Urban,Electronics,294.17,2.6,6,1765.02,0.3,1235.51,2020-01-03,516,Debit Card,Non-member,1
4898,39,Other,Urban,Furniture,704.14,3.1,5,3520.7,0.3,2464.49,2020-01-03,473,Cash,Regular,0
4341,37,Female,Rural,Groceries,618.9,2.3,6,3713.4,0.3,2599.38,2020-01-03,721,Credit Card,Non-member,1
1572,61,Other,Rural,Toys,864.64,1.8,3,2593.92,0.2,2075.14,2020-01-03,937,Cash,Non-member,0
3793,18,Other,Suburban,Toys,165.64,1.9,6,993.84,0.3,695.69,2020-01-03,127,Debit Card,Non-member,0
4144,25,Female,Urban,Clothing,692.1,1.7,1,692.1,0.2,553.68,2020-01-03,604,Credit Card,Non-member,0
4252,63,Male,Suburban,Toys,641.81,1.7,4,2567.24,0.1,2310.52,2020-01-03,348,Cash,Regular,1
3980,51,Other,Rural,Electronics,509.16,3.5,7,3564.12,0.1,3207.71,2020-01-03,660,Credit Card,VIP,0
2203,54,Other,Rural,Electronics,570.19,3.4,5,2850.95,0.2,2280.76,2020-01-03,844,Debit Card,Non-member,0
3940,66,Other,Rural,Clothing,426.88,2.5,8,3415.04,0.1,3073.54,2020-01-03,499,Debit Card,VIP,0
2702,39,Male,Urban,Groceries,865.19,3.4,1,865.19,0.3,605.63,2020-01-03,430,Mobile Payment,Non-member,0
4964,35,Male,Rural,Furniture,325,1.4,7,2275,0,2275,2020-01-03,270,Credit Card,VIP,0
4206,51,Other,Suburban,Furniture,33.73,3.5,8,269.84,0.2,215.87,2020-01-03,752,Debit Card,Regular,0
3378,53,Male,Urban,Groceries,347.63,2,3,1042.89,0.3,730.02,2020-01-03,394,Credit Card,Non-member,0
3769,45,Female,Suburban,Toys,77.18,3.2,5,385.9,0.2,308.72,2020-01-03,968,Mobile Payment,Regular,0
1212,40,Other,Urban,Toys,975.34,4.1,5,4876.7,0.3,3413.69,2020-01-03,370,Debit Card,VIP,0
1886,32,Female,Suburban,Clothing,967.41,4.2,6,5804.46,0.1,5224.01,2020-01-03,512,Credit Card,Non-member,1
2194,65,Other,Urban,Groceries,385.61,4.5,1,385.61,0.3,269.93,2020-01-03,837,Credit Card,Non-member,1
2074,35,Female,Suburban,Furniture,417.28,2.3,7,2920.96,0.1,2628.86,2020-01-03,285,Credit Card,Non-member,1
2693,32,Female,Urban,Electronics,507.24,3.2,6,3043.44,0.3,2130.41,2020-01-03,540,Cash,VIP,1
1677,31,Other,Urban,Toys,295.29,4.3,6,1771.74,0.3,1240.22,2020-01-04,720,Cash,VIP,1
2880,43,Other,Rural,Electronics,747.26,3.7,8,5978.08,0,5978.08,2020-01-04,396,Mobile Payment,Regular,1
1635,27,Other,Rural,Clothing,408.19,4.7,7,2857.33,0.3,2000.13,2020-01-04,865,Mobile Payment,Regular,1
4523,34,Male,Suburban,Clothing,346.73,3.1,8,2773.84,0.1,2496.46,2020-01-04,30,Debit Card,Non-member,1
4363,33,Female,Urban,Furniture,336.38,3.5,6,2018.28,0.1,1816.45,2020-01-04,833,Cash,Non-member,1
3047,41,Female,Rural,Furniture,553.41,2.3,4,2213.64,0,2213.64,2020-01-04,848,Credit Card,Non-member,1
4553,25,Female,Suburban,Electronics,444.74,1.8,6,2668.44,0.2,2134.75,2020-01-04,268,Credit Card,Regular,1
2493,32,Male,Rural,Furniture,713.29,1.7,1,713.29,0,713.29,2020-01-04,178,Cash,VIP,1
4350,39,Male,Suburban,Furniture,564.83,3,2,1129.66,0.3,790.76,2020-01-04,851,Credit Card,VIP,0
2049,55,Other,Urban,Furniture,601.07,4.6,4,2404.28,0.3,1683,2020-01-04,76,Cash,Regular,0
3644,19,Female,Suburban,Electronics,109.83,2.3,8,878.64,0,878.64,2020-01-04,727,Mobile Payment,VIP,0
3234,48,Male,Urban,Toys,248.59,3.1,9,2237.31,0.3,1566.12,2020-01-04,742,Mobile Payment,Non-member,0
1566,50,Female,Rural,Groceries,534.6,2.4,9,4811.4,0.1,4330.26,2020-01-04,866,Cash,Non-member,0
3977,47,Other,Urban,Furniture,951.6,3.3,5,4758,0.2,3806.4,2020-01-04,652,Debit Card,Regular,0
4358,62,Other,Rural,Clothing,458.52,3.7,7,3209.64,0.1,2888.68,2020-01-04,611,Mobile Payment,Non-member,1
3583,38,Male,Urban,Clothing,685.54,4.4,8,5484.32,0.3,3839.02,2020-01-04,529,Mobile Payment,VIP,0
1917,44,Other,Rural,Groceries,347.95,4.9,5,1739.75,0.3,1217.82,2020-01-04,466,Cash,Non-member,0
4601,45,Male,Suburban,Toys,186,3.8,3,558,0.2,446.4,2020-01-04,602,Credit Card,VIP,1
3198,63,Female,Rural,Toys,307.59,1.5,3,922.77,0.1,830.49,2020-01-04,837,Debit Card,VIP,1
3655,28,Male,Urban,Clothing,17.77,3.4,6,106.62,0.2,85.3,2020-01-04,447,Cash,VIP,1
4441,35,Other,Urban,Electronics,546.02,2.3,3,1638.06,0,1638.06,2020-01-04,907,Debit Card,Non-member,0
3232,42,Female,Rural,Toys,159.77,1.6,2,319.54,0,319.54,2020-01-04,997,Cash,Non-member,1
1947,68,Female,Urban,Toys,699.92,4,1,699.92,0.1,629.93,2020-01-04,483,Cash,Regular,0
3245,44,Male,Rural,Toys,781.03,1.5,6,4686.18,0.3,3280.33,2020-01-04,332,Mobile Payment,Non-member,0
2605,40,Other,Urban,Toys,579.09,2.3,8,4632.72,0.3,3242.9,2020-01-05,534,Mobile Payment,VIP,0
2796,31,Other,Rural,Clothing,323.11,2.4,2,646.22,0.2,516.98,2020-01-05,144,Mobile Payment,VIP,0
3561,25,Other,Suburban,Clothing,141.65,3.9,6,849.9,0.1,764.91,2020-01-05,716,Credit Card,Regular,0
1833,69,Female,Rural,Toys,937.94,1.3,7,6565.58,0.2,5252.46,2020-01-05,218,Mobile Payment,VIP,0
1484,57,Other,Urban,Clothing,305.91,3.5,1,305.91,0.1,275.32,2020-01-05,369,Credit Card,Regular,0
4612,43,Male,Rural,Clothing,452.94,2.8,2,905.88,0.1,815.29,2020-01-05,210,Mobile Payment,Regular,1
4781,59,Female,Rural,Groceries,354.18,2.8,6,2125.08,0.3,1487.56,2020-01-05,961,Mobile Payment,Non-member,0
4219,27,Other,Suburban,Toys,381.7,3.7,7,2671.9,0,2671.9,2020-01-05,193,Credit Card,VIP,1
1560,58,Female,Rural,Toys,726.28,4.8,7,5083.96,0,5083.96,2020-01-05,396,Mobile Payment,Non-member,1
4820,37,Other,Suburban,Furniture,17.87,1.9,9,160.83,0.1,144.75,2020-01-05,47,Mobile Payment,Non-member,1
2416,53,Male,Suburban,Groceries,623.96,3.1,8,4991.68,0.1,4492.51,2020-01-05,181,Cash,VIP,1
3575,21,Female,Rural,Clothing,305.37,3.8,3,916.11,0.2,732.89,2020-01-05,520,Cash,VIP,0
4498,50,Male,Suburban,Toys,620.17,2.7,1,620.17,0.3,434.12,2020-01-05,838,Debit Card,Regular,1
3137,44,Male,Rural,Electronics,292.71,2.6,5,1463.55,0,1463.55,2020-01-05,831,Credit Card,Non-member,0
3665,56,Male,Urban,Clothing,807.38,3,4,3229.52,0.3,2260.66,2020-01-05,216,Credit Card,Regular,0
3873,29,Female,Urban,Groceries,14.58,3,7,102.06,0.2,81.65,2020-01-05,908,Mobile Payment,VIP,0
1873,59,Female,Rural,Toys,784.89,4.8,3,2354.67,0.3,1648.27,2020-01-05,567,Mobile Payment,VIP,1
4395,58,Male,Suburban,Clothing,287.42,3,6,1724.52,0.1,1552.07,2020-01-05,127,Cash,Non-member,0
3685,50,Other,Rural,Furniture,388.8,2,6,2332.8,0,2332.8,2020-01-05,300,Cash,Regular,0
1732,64,Male,Rural,Electronics,42.28,5,7,295.96,0.2,236.77,2020-01-05,843,Debit Card,Non-member,0
4304,49,Other,Rural,Toys,304.02,3.9,6,1824.12,0.2,1459.3,2020-01-05,174,Credit Card,VIP,1
3034,31,Male,Urban,Clothing,331.11,2.1,3,993.33,0.2,794.66,2020-01-05,231,Credit Card,Non-member,1
2065,65,Male,Urban,Toys,54.99,1.2,2,109.98,0.3,76.99,2020-01-05,442,Mobile Payment,VIP,0
3375,64,Male,Urban,Clothing,389.26,4.1,7,2724.82,0.2,2179.86,2020-01-05,105,Debit Card,Non-member,0
4063,53,Other,Urban,Furniture,370.95,3.8,9,3338.55,0.1,3004.7,2020-01-06,461,Debit Card,Regular,0
3571,69,Other,Rural,Groceries,903.18,2,9,8128.62,0.1,7315.76,2020-01-06,913,Debit Card,Non-member,1
3579,21,Other,Suburban,Toys,516.64,2.5,6,3099.84,0.1,2789.86,2020-01-06,609,Debit Card,VIP,0
3957,56,Female,Suburban,Electronics,949.17,4.2,5,4745.85,0.3,3322.09,2020-01-06,22,Debit Card,VIP,1
1331,25,Other,Rural,Groceries,864.78,4.6,1,864.78,0.2,691.82,2020-01-06,840,Mobile Payment,Non-member,0
4347,26,Other,Suburban,Groceries,316.15,1.2,7,2213.05,0,2213.05,2020-01-06,39,Cash,Non-member,1
4567,61,Female,Rural,Toys,735.75,2,5,3678.75,0.3,2575.12,2020-01-06,320,Credit Card,Regular,0
2071,40,Male,Suburban,Groceries,429.81,1,5,2149.05,0,2149.05,2020-01-06,843,Cash,Regular,1
2254,18,Male,Suburban,Clothing,58.48,2,9,526.32,0.3,368.42,2020-01-06,583,Mobile Payment,Regular,1
4951,36,Other,Suburban,Furniture,383.35,1.4,2,766.7,0.2,613.36,2020-01-06,566,Mobile Payment,Non-member,1
3296,56,Male,Urban,Furniture,21.71,1.5,3,65.13,0.1,58.62,2020-01-06,910,Credit Card,Regular,0
3816,47,Male,Suburban,Groceries,159.36,4.1,4,637.44,0.2,509.95,2020-01-06,444,Credit Card,Non-member,0
1611,53,Male,Rural,Clothing,241.84,3.3,3,725.52,0.2,580.42,2020-01-06,925,Cash,Non-member,1
2219,44,Other,Rural,Groceries,935.51,3.9,4,3742.04,0.1,3367.84,2020-01-06,120,Cash,Regular,0
1583,33,Male,Urban,Groceries,900,3.1,3,2700,0.3,1890,2020-01-06,885,Debit Card,Non-member,0
3275,21,Male,Urban,Furniture,119.99,3.3,4,479.96,0.3,335.97,2020-01-06,825,Debit Card,Non-member,1
2445,69,Female,Urban,Furniture,715.23,4.6,2,1430.46,0.1,1287.41,2020-01-06,791,Cash,Regular,1
1512,37,Other,Suburban,Electronics,819.09,4.4,9,7371.81,0.3,5160.27,2020-01-06,892,Credit Card,Non-member,1
3717,40,Female,Urban,Clothing,899.39,3.3,6,5396.34,0,5396.34,2020-01-06,378,Debit Card,Non-member,0
2631,49,Male,Urban,Electronics,327.83,2.5,6,1966.98,0.3,1376.89,2020-01-06,64,Debit Card,VIP,0
4074,26,Other,Rural,Electronics,189,3.2,3,567,0.2,453.6,2020-01-06,98,Credit Card,Non-member,0
2818,43,Other,Urban,Clothing,970.74,4.8,7,6795.18,0.3,4756.63,2020-01-06,273,Debit Card,Non-member,1
4262,26,Other,Suburban,Furniture,837.09,4.3,6,5022.54,0.3,3515.78,2020-01-06,220,Debit Card,Non-member,0
4772,20,Female,Rural,Groceries,717.46,1.9,9,6457.14,0,6457.14,2020-01-06,179,Credit Card,Non-member,0
4506,65,Female,Suburban,Toys,171.01,3.3,8,1368.08,0.2,1094.46,2020-01-07,894,Credit Card,Regular,0
3685,18,Other,Suburban,Furniture,600.32,1.9,9,5402.88,0.1,4862.59,2020-01-07,76,Mobile Payment,Non-member,1
1984,38,Female,Rural,Clothing,855.45,3.5,4,3421.8,0.3,2395.26,2020-01-07,814,Cash,VIP,0
3396,26,Female,Suburban,Toys,449.78,1.5,1,449.78,0.1,404.8,2020-01-07,942,Cash,Non-member,1
4801,29,Male,Suburban,Furniture,411.26,2.2,1,411.26,0.1,370.13,2020-01-07,777,Credit Card,Non-member,0
1414,34,Female,Urban,Electronics,944.48,2.6,8,7555.84,0.3,5289.09,2020-01-07,419,Credit Card,Non-member,0
2934,19,Female,Suburban,Toys,165.6,3.4,2,331.2,0,331.2,2020-01-07,165,Mobile Payment,VIP,0
2913,51,Female,Urban,Electronics,463.78,1.9,7,3246.46,0,3246.46,2020-01-07,583,Credit Card,Regular,0
2449,57,Other,Suburban,Clothing,934.61,2.9,7,6542.27,0,6542.27,2020-01-07,725,Debit Card,VIP,0
2932,18,Other,Rural,Clothing,372.58,2.5,2,745.16,0.3,521.61,2020-01-07,36,Cash,Regular,0
1781,40,Male,Rural,Groceries,691.04,4.7,8,5528.32,0.1,4975.49,2020-01-07,654,Credit Card,Non-member,1
3585,35,Male,Urban,Toys,969.23,3.7,3,2907.69,0.3,2035.38,2020-01-07,224,Debit Card,Regular,1
1610,38,Other,Rural,Electronics,967.66,1.4,8,7741.28,0.2,6193.02,2020-01-07,507,Cash,Regular,0
1226,34,Male,Suburban,Toys,888.02,4.8,9,7992.18,0.1,7192.96,2020-01-07,873,Mobile Payment,VIP,0
1059,64,Male,Urban,Groceries,620.42,3.1,7,4342.94,0,4342.94,2020-01-07,761,Credit Card,Non-member,0
1062,21,Male,Urban,Groceries,853.42,4.9,9,7680.78,0.3,5376.55,2020-01-07,108,Credit Card,Regular,1
1209,59,Other,Urban,Groceries,137.06,1.9,1,137.06,0.1,123.35,2020-01-07,175,Debit Card,VIP,1
1511,65,Male,Suburban,Toys,943.55,3.6,7,6604.85,0.2,5283.88,2020-01-07,58,Debit Card,Non-member,1
3651,62,Female,Suburban,Clothing,255.95,4,5,1279.75,0.1,1151.78,2020-01-07,265,Cash,VIP,1
1909,20,Male,Rural,Furniture,217.48,3.3,1,217.48,0.3,152.24,2020-01-07,800,Cash,VIP,0
3820,18,Female,Urban,Furniture,684.68,1,6,4108.08,0.1,3697.27,2020-01-07,386,Mobile Payment,Non-member,1
3848,66,Male,Urban,Groceries,627.79,4.2,8,5022.32,0,5022.32,2020-01-07,676,Mobile Payment,Regular,1
2274,27,Female,Suburban,Toys,659.13,1.7,7,4613.91,0,4613.91,2020-01-07,726,Mobile Payment,VIP,1
2977,38,Male,Suburban,Groceries,589.35,1.1,6,3536.1,0.1,3182.49,2020-01-07,589,Cash,VIP,1
1177,66,Female,Rural,Furniture,42.07,4,7,294.49,0.1,265.04,2020-01-08,714,Debit Card,Regular,1
2742,60,Other,Suburban,Electronics,717.77,4.5,5,3588.85,0.2,2871.08,2020-01-08,278,Credit Card,Non-member,0
2635,52,Female,Rural,Clothing,462.88,3.6,4,1851.52,0.2,1481.22,2020-01-08,86,Credit Card,Non-member,0
4519,60,Other,Rural,Clothing,326.64,1.2,1,326.64,0.1,293.98,2020-01-08,595,Debit Card,VIP,1
1812,28,Female,Rural,Toys,541.52,1.5,1,541.52,0,541.52,2020-01-08,707,Credit Card,VIP,0
1053,29,Male,Suburban,Groceries,447.04,3.9,7,3129.28,0.1,2816.35,2020-01-08,83,Mobile Payment,Non-member,0
3636,38,Male,Rural,Furniture,177.59,3.5,5,887.95,0.1,799.16,2020-01-08,553,Debit Card,Non-member,0
2524,65,Other,Urban,Toys,684.61,4.5,3,2053.83,0,2053.83,2020-01-08,140,Credit Card,Non-member,1
1155,62,Male,Rural,Toys,971.05,2.6,2,1942.1,0.1,1747.89,2020-01-08,710,Credit Card,Non-member,1
2268,25,Female,Rural,Furniture,942.31,4.7,5,4711.55,0.2,3769.24,2020-01-08,550,Cash,Non-member,0
2252,37,Female,Suburban,Electronics,261.11,3.6,4,1044.44,0,1044.44,2020-01-08,510,Debit Card,VIP,1
3436,56,Male,Urban,Groceries,131.08,1.9,9,1179.72,0,1179.72,2020-01-08,493,Credit Card,VIP,0
2107,20,Male,Urban,Toys,58.76,2,7,411.32,0.2,329.06,2020-01-08,236,Credit Card,Regular,1
2249,24,Female,Rural,Clothing,14.48,3.6,8,115.84,0.2,92.67,2020-01-08,860,Mobile Payment,Non-member,0
3027,42,Other,Urban,Toys,867.94,3.5,4,3471.76,0.2,2777.41,2020-01-08,411,Cash,VIP,1
1615,39,Male,Suburban,Electronics,40.09,3.5,6,240.54,0,240.54,2020-01-08,160,Cash,Non-member,0
3977,20,Female,Suburban,Furniture,240.98,4.6,1,240.98,0.3,168.69,2020-01-08,443,Mobile Payment,VIP,0
1208,29,Other,Suburban,Furniture,999.94,4.4,7,6999.58,0,6999.58,2020-01-08,116,Cash,VIP,0
3884,63,Female,Rural,Toys,340.52,2.4,2,681.04,0.3,476.73,2020-01-08,474,Credit Card,Regular,0
3106,59,Male,Urban,Groceries,478.8,5,5,2394,0,2394,2020-01-08,979,Mobile Payment,Regular,1
3069,53,Female,Urban,Furniture,335.59,1.8,3,1006.77,0,1006.77,2020-01-08,751,Debit Card,Regular,0
4215,59,Female,Suburban,Clothing,735.7,3,4,2942.8,0.1,2648.52,2020-01-08,128,Cash,Regular,1
3805,37,Other,Suburban,Clothing,631.35,4.7,9,5682.15,0.3,3977.5,2020-01-08,907,Cash,Non-member,1
2485,26,Female,Rural,Clothing,234.62,1.4,3,703.86,0.3,492.7,2020-01-08,818,Mobile Payment,VIP,0
4112,43,Male,Rural,Toys,291.96,2.3,3,875.88,0.1,788.29,2020-01-09,298,Mobile Payment,Regular,1
3960,51,Female,Urban,Furniture,711.59,1.6,3,2134.77,0,2134.77,2020-01-09,990,Mobile Payment,Non-member,1
2733,63,Other,Rural,Electronics,520.94,4,1,520.94,0.2,416.75,2020-01-09,663,Cash,Regular,0
3499,51,Female,Urban,Furniture,416.05,4.9,7,2912.35,0,2912.35,2020-01-09,503,Credit Card,VIP,1
1256,19,Other,Rural,Electronics,616.04,2.7,5,3080.2,0.3,2156.14,2020-01-09,929,Debit Card,VIP,1
4285,30,Male,Suburban,Clothing,752.32,5,6,4513.92,0.2,3611.14,2020-01-09,28,Credit Card,Non-member,1
1552,45,Other,Urban,Clothing,822.46,4.5,1,822.46,0.1,740.21,2020-01-09,856,Cash,Non-member,0
4500,23,Other,Suburban,Groceries,413.21,2.3,5,2066.05,0.1,1859.44,2020-01-09,257,Mobile Payment,VIP,0
4367,47,Other,Suburban,Furniture,698.55,3.3,5,3492.75,0.1,3143.48,2020-01-09,589,Mobile Payment,VIP,0
1013,37,Male,Rural,Toys,930.01,3.4,8,7440.08,0,7440.08,2020-01-09,884,Debit Card,Regular,1
2554,41,Female,Suburban,Toys,862.76,4.9,5,4313.8,0.3,3019.66,2020-01-09,671,Credit Card,Non-member,0
1515,42,Other,Rural,Clothing,830.85,1.2,4,3323.4,0.1,2991.06,2020-01-09,120,Cash,Regular,0
3279,32,Female,Rural,Furniture,515.08,4.8,4,2060.32,0.3,1442.22,2020-01-09,263,Debit Card,Regular,0
4268,50,Female,Urban,Electronics,148.53,4.7,9,1336.77,0,1336.77,2020-01-09,655,Credit Card,Non-member,1
3363,48,Male,Urban,Groceries,706.32,3.7,2,1412.64,0.1,1271.38,2020-01-09,210,Cash,VIP,1
1912,25,Male,Suburban,Furniture,808.63,2.5,2,1617.26,0.2,1293.81,2020-01-09,91,Mobile Payment,Regular,0
1897,47,Female,Suburban,Furniture,894.71,1.6,6,5368.26,0,5368.26,2020-01-09,726,Credit Card,VIP,1
1620,48,Female,Rural,Toys,446.56,1.6,3,1339.68,0,1339.68,2020-01-09,890,Debit Card,Non-member,0
1855,64,Male,Rural,Groceries,448.33,3.5,4,1793.32,0,1793.32,2020-01-09,498,Credit Card,Regular,1
3058,30,Male,Rural,Toys,783.66,3.6,3,2350.98,0.1,2115.88,2020-01-09,85,Debit Card,Non-member,1
4764,63,Other,Rural,Furniture,330.74,2.9,1,330.74,0.3,231.52,2020-01-09,60,Cash,VIP,0
3008,55,Male,Suburban,Groceries,621.28,1.3,8,4970.24,0.3,3479.17,2020-01-09,598,Mobile Payment,Regular,1
3074,24,Other,Rural,Toys,692.44,3.5,2,1384.88,0,1384.88,2020-01-09,638,Debit Card,Regular,1
1993,23,Other,Urban,Furniture,832.69,1.5,4,3330.76,0.1,2997.68,2020-01-09,753,Credit Card,Non-member,1
4995,48,Female,Suburban,Toys,128.57,4.3,5,642.85,0,642.85,2020-01-10,143,Debit Card,Non-member,1
1043,38,Other,Urban,Clothing,941.41,2.4,2,1882.82,0.3,1317.97,2020-01-10,78,Cash,Non-member,1
3293,45,Male,Rural,Groceries,548.7,4.9,9,4938.3,0.3,3456.81,2020-01-10,491,Mobile Payment,Regular,0
1262,29,Male,Suburban,Clothing,89.03,4.1,7,623.21,0,623.21,2020-01-10,29,Mobile Payment,Regular,1
2472,20,Female,Rural,Toys,804.83,1.5,2,1609.66,0.2,1287.73,2020-01-10,47,Credit Card,Non-member,0
2234,57,Female,Suburban,Furniture,314.63,2.7,8,2517.04,0,2517.04,2020-01-10,83,Debit Card,VIP,0
3419,26,Female,Suburban,Electronics,237.09,2.7,7,1659.63,0.1,1493.67,2020-01-10,685,Cash,Non-member,1
1307,58,Other,Rural,Furniture,565.04,4.9,1,565.04,0.3,395.53,2020-01-10,649,Credit Card,Non-member,0
4440,45,Other,Rural,Groceries,924.01,4.9,9,8316.09,0.2,6652.87,2020-01-10,228,Cash,Regular,0
1741,39,Male,Urban,Electronics,569.58,1.4,7,3987.06,0,3987.06,2020-01-10,910,Credit Card,Regular,0
